"Woonplaatsen in Nederland 2018"
""
"";"Onderwerp"
"";"Gemeente|Naam ";"Gemeente|Code ";"Provincie|Naam";"Provincie|Code";"Landsdeel|Naam";"Landsdeel|Code"
"Woonplaatsen";"Naam";"Code";"Naam";"Code";"Naam";"Code"
"Aadorp";"Almelo";"GM0141";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Aagtekerke";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Aalden";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Aalsmeer";"Aalsmeer";"GM0358";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Aalsmeerderbrug";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Aalst";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Aalsum";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Aalten";"Aalten";"GM0197";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ter Aar";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Ter Aard";"Assen";"GM0106";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Aardenburg";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Aarlanderveen";"AlphenaandenRijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Aarle-Rixtel";"Laarbeek";"GM1659";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Aartswoud";"Opmeer";"GM0432";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Abbega";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Abbekerk";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Abbenbroek";"Nissewaard";"GM1930";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Abbenes";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Abcoude";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Achlum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Achterveld";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Achterveld";"Leusden";"GM0327";"Utrecht";"PV26";"West-Nederland";"LD03"
"Achthuizen";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Achtmaal";"Zundert";"GM0879";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Acquoy";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Adorp";"Winsum";"GM0053";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Aduard";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Aerdenhout";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Aerdt";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Afferden";"Druten";"GM0225";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Afferden L";"Bergen(L.)";"GM0893";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Agelo";"Dinkelland";"GM1774";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Akersloot";"Castricum";"GM0383";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Akkrum";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Akmarijp";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Albergen";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Alblasserdam";"Alblasserdam";"GM0482";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Alde Leie";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Aldeboarn";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Aldtsjerk";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Alem";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Alkmaar";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Allingawier";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Almelo";"Almelo";"GM0141";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Almen";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Almere";"Almere";"GM0034";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Almkerk";"Woudrichem";"GM0874";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Alphen";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Alphen";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Alphen aan den Rijn";"AlphenaandenRijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Alteveer";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Alteveer";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Alteveer";"DeWolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Alteveer gem Hoogeveen";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Altforst";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ambt Delden";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Ameide";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Amen";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"America";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Amerongen";"UtrechtseHeuvelrug";"GM1581";"Utrecht";"PV26";"West-Nederland";"LD03"
"Amersfoort";"Amersfoort";"GM0307";"Utrecht";"PV26";"West-Nederland";"LD03"
"Ammerstol";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Ammerzoden";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Amstelhoek";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Amstelveen";"Amstelveen";"GM0362";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Amstenrade";"Schinnen";"GM0962";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Amsterdam";"Amsterdam";"GM0363";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Amsterdam-Duivendrecht";"Ouder-Amstel";"GM0437";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Andel";"Woudrichem";"GM0874";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Den Andel";"Winsum";"GM0053";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Andelst";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Anderen";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Andijk";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Ane";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Anerveen";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Anevelde";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Angeren";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Angerlo";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Anjum";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ankeveen";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
